participant_id	species	sex
sub-G150717	Meriones unguiculatus	M
sub-G150730	Meriones unguiculatus	M
sub-G150805	Meriones unguiculatus	F
sub-G150921	Meriones unguiculatus	M
sub-G150922	Meriones unguiculatus	F
sub-G150929	Meriones unguiculatus	F
sub-G151001	Meriones unguiculatus	F
sub-G151104	Meriones unguiculatus	M
sub-G151110	Meriones unguiculatus	M
sub-G151126	Meriones unguiculatus	M
sub-G151203	Meriones unguiculatus	F
sub-G151210	Meriones unguiculatus	M
sub-G160322	Meriones unguiculatus	M
sub-G160412	Meriones unguiculatus	F
sub-G160419	Meriones unguiculatus	F
sub-G160426	Meriones unguiculatus	M
sub-G160504	Meriones unguiculatus	F
sub-G160518	Meriones unguiculatus	F
sub-G160524	Meriones unguiculatus	F
sub-G160531	Meriones unguiculatus	M
sub-G160609	Meriones unguiculatus	F
sub-G160727	Meriones unguiculatus	M
sub-G160803	Meriones unguiculatus	F
sub-G160817	Meriones unguiculatus	M
sub-G160901	Meriones unguiculatus	M
sub-G161110	Meriones unguiculatus	M
sub-G170425	Meriones unguiculatus	F
sub-G170508	Meriones unguiculatus	M
sub-G170512	Meriones unguiculatus	F
sub-G170517	Meriones unguiculatus	F
sub-G170523	Meriones unguiculatus	F
sub-G170712	Meriones unguiculatus	F
sub-G170808	Meriones unguiculatus	M
sub-G171023	Meriones unguiculatus	M
sub-G171204	Meriones unguiculatus	M
sub-G171211	Meriones unguiculatus	M
sub-G171214	Meriones unguiculatus	F
sub-G171221	Meriones unguiculatus	M
sub-G180118	Meriones unguiculatus	M
sub-G180205	Meriones unguiculatus	M
sub-G180406	Meriones unguiculatus	M
sub-G180626	Meriones unguiculatus	F
sub-G180710	Meriones unguiculatus	M
sub-G180717	Meriones unguiculatus	F
sub-G190108	Meriones unguiculatus	F
sub-G190118	Meriones unguiculatus	M
sub-G190129	Meriones unguiculatus	F
sub-G190326	Meriones unguiculatus	M
sub-G190411	Meriones unguiculatus	F
sub-G190507	Meriones unguiculatus	F
sub-G190515	Meriones unguiculatus	F
sub-G190603	Meriones unguiculatus	M
sub-G190611	Meriones unguiculatus	F
sub-G190613	Meriones unguiculatus	M
sub-G190617	Meriones unguiculatus	M
sub-G190704	Meriones unguiculatus	F
sub-G190730	Meriones unguiculatus	M
sub-G190801	Meriones unguiculatus	F
sub-G190806	Meriones unguiculatus	F
sub-G190903	Meriones unguiculatus	M
sub-G190912	Meriones unguiculatus	M
sub-G190920	Meriones unguiculatus	M
sub-G191008	Meriones unguiculatus	M
sub-G191017	Meriones unguiculatus	M
sub-G191022	Meriones unguiculatus	F
sub-G191115	Meriones unguiculatus	M
sub-G191128	Meriones unguiculatus	M
sub-G191217	Meriones unguiculatus	F
sub-G191219	Meriones unguiculatus	F
sub-G200213	Meriones unguiculatus	M
sub-G200225	Meriones unguiculatus	F
sub-G200306	Meriones unguiculatus	F
sub-G200528	Meriones unguiculatus	F
sub-G200616	Meriones unguiculatus	M
sub-G200623	Meriones unguiculatus	M
sub-G200901	Meriones unguiculatus	F
sub-G201001	Meriones unguiculatus	M
sub-G201103	Meriones unguiculatus	M
sub-G201112	Meriones unguiculatus	F
sub-G201208	Meriones unguiculatus	F
sub-G201210	Meriones unguiculatus	F
sub-G201215	Meriones unguiculatus	M
sub-G201217	Meriones unguiculatus	M
sub-G201222	Meriones unguiculatus	M
sub-G211118	Meriones unguiculatus	M
sub-G211221	Meriones unguiculatus	M
sub-G220201	Meriones unguiculatus	F
sub-G220222	Meriones unguiculatus	F
sub-G220301	Meriones unguiculatus	F
sub-G220331	Meriones unguiculatus	M
sub-G220407	Meriones unguiculatus	F
sub-G220602	Meriones unguiculatus	M
sub-G220609	Meriones unguiculatus	M
sub-G220726	Meriones unguiculatus	F
sub-G220901	Meriones unguiculatus	F
sub-G220908	Meriones unguiculatus	F
sub-G220922	Meriones unguiculatus	M
sub-G221006	Meriones unguiculatus	M
sub-G221013	Meriones unguiculatus	F
sub-G221110	Meriones unguiculatus	M
sub-G230511	Meriones unguiculatus	M
sub-G230907	Meriones unguiculatus	F
sub-G231218	Meriones unguiculatus	F
sub-G240111	Meriones unguiculatus	F
