session_id	original_session_id
ses-G180710+277	ses-G180710:277
ses-G180710+315	ses-G180710:315
ses-G180710+379	ses-G180710:379
ses-G180710+389	ses-G180710:389
ses-G180710+415	ses-G180710:415
ses-G180710+433	ses-G180710:433
ses-G180710+459	ses-G180710:459
ses-G180710+559	ses-G180710:559
ses-G180710+566	ses-G180710:566
ses-G180710+575	ses-G180710:575
ses-G180710+624	ses-G180710:624
ses-G180710+626	ses-G180710:626
ses-G180710+636	ses-G180710:636
ses-G180710+670	ses-G180710:670
ses-G180710+771+b	ses-G180710:771_b
